Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
HRTX,2016-05-18,2016-08-12,17.58,20.41,16.1%,91.8%,105395900.9,17168343.17,143748592.07
VTVT,2016-05-18,2016-08-12,206.0,239.6,16.3%,88.7%,105395900.9,16586546.0,138306068.38
AUPH,2016-05-23,2016-08-17,2.48,2.44,-1.6%,53.7%,134013458.47,10274519.96,164916086.9
KMDA,2016-06-07,2016-09-01,3.71,4.85,30.7%,98.3%,135123005.6,20105923.73,185071145.98
RIGL,2016-06-07,2016-09-01,24.4,34.5,41.4%,53.1%,135123005.6,10851866.51,198663772.03
GSK,2016-06-10,2016-09-02,40.93,44.26,8.1%,70.4%,168795230.34,14244531.65,188805688.86
OPK,2016-06-10,2016-09-02,9.3,9.33,0.3%,119.2%,168795230.34,24125795.93,189947034.27
KPTI,2016-06-14,2016-09-08,121.05,138.3,14.3%,91.2%,235962341.04,21198031.2,277746311.54
TNXP,2016-06-14,2016-09-08,1619200000.0,505600000.0,-68.8%,84.6%,235962341.04,19653735.41,82333751.82
SRPT,2016-06-27,2016-09-21,16.95,56.22,231.7%,94.8%,371792983.18,31750358.88,777637689.68
IONS,2016-08-15,2016-11-09,35.45,38.38,8.3%,107.4%,393732727.34,50826492.66,473966972.56
ACRS,2016-08-23,2016-11-17,21.24,23.82,12.1%,102.1%,393732727.34,48098912.24,479691885.44
VCEL,2016-09-20,2016-12-15,2.37,3.5,47.7%,58.3%,393732727.34,20852292.43,490874936.52
VTVT,2016-09-21,2016-12-16,277.6,211.6,-23.8%,42.6%,393732727.34,14898530.57,387026245.77
ACAD,2016-09-27,2016-12-22,35.23,27.67,-21.5%,65.2%,311953227.61,19577264.24,266113795.6
LXRX,2016-09-28,2016-12-23,18.06,15.18,-15.9%,61.4%,264888948.61,18009249.74,261358763.97
IONS,2016-09-30,2016-12-23,36.64,53.41,45.8%,56.9%,225395184.79,15852569.77,259924383.7
OPK,2016-10-07,2016-12-30,9.91,9.3,-6.2%,115.4%,193899627.64,28588267.23,223421287.68
HALO,2016-10-13,2017-01-06,10.51,13.38,27.3%,110.1%,160616754.31,24926830.89,201188205.3
CHRS,2016-10-18,2017-01-12,29.22,27.0,-7.6%,65.2%,140426584.49,13863227.31,150757781.02
ABBV,2016-10-27,2017-01-20,61.46,61.15,-0.5%,92.4%,124458931.5,17408985.0,139702640.21
VRTX,2016-11-02,2017-01-27,78.0,87.37,12.0%,71.7%,123150766.01,12677282.6,141873120.23
IRWD,2016-11-03,2017-01-27,10.63,11.7,10.1%,113.2%,123150766.01,19678880.13,160097849.79
TENX,2016-11-08,2017-02-02,44160.0,25600.0,-42.0%,76.7%,123150766.01,12826583.44,172323447.59
AMGN,2016-11-15,2017-02-09,147.06,167.47,13.9%,61.2%,119914637.98,9369841.94,134154852.88
JNJ,2016-11-16,2017-02-10,116.36,115.24,-1.0%,59.7%,119914637.98,9025028.04,126415752.07
ARDX,2016-11-23,2017-02-17,15.55,13.05,-16.1%,84.9%,105704090.44,11632009.95,109658032.26
BHC,2016-11-23,2017-02-17,16.94,16.04,-5.3%,61.0%,105704090.44,8359227.77,108483926.31
AZN,2016-11-25,2017-02-17,54.2,58.32,7.6%,86.8%,95398054.79,11389091.22,109229148.62
MRK,2016-11-25,2017-02-17,59.36,62.4,5.1%,111.8%,95398054.79,14678349.59,110711621.43
TRVN,2016-11-29,2017-02-23,3468.75,2406.25,-30.6%,72.0%,89053890.6,9200023.3,90098260.92
BMY,2016-11-30,2017-02-24,56.44,56.44,0.0%,57.5%,85091883.48,7283371.98,93232427.32
GILD,2016-12-06,2017-03-02,72.47,70.53,-2.7%,119.8%,73441716.16,14340392.8,87176934.3
LXRX,2016-12-06,2017-03-02,16.05,15.07,-6.1%,80.8%,73441716.16,9667205.37,78952796.23
AZN,2016-12-06,2017-03-02,52.02,59.2,13.8%,47.3%,73441716.16,5658537.75,85813101.34
AUPH,2016-12-07,2017-03-03,2.9,4.81,65.9%,43.8%,71434286.95,5201583.78,97937617.44
PTCT,2016-12-08,2017-03-03,12.86,9.81,-23.7%,48.8%,69554409.96,5700647.92,65552213.54
RHHBY,2016-12-08,2017-03-03,27.08,32.42,19.7%,90.2%,69554409.96,10542413.02,89079994.98
IONS,2016-12-12,2017-03-08,45.1,47.13,4.5%,103.4%,69554409.96,11967200.57,85994904.66
TGTX,2016-12-12,2017-03-08,5.05,10.15,101.0%,73.8%,69554409.96,8541018.13,121677091.04
NVS,2016-12-19,2017-03-15,64.18,67.72,5.5%,45.1%,67146713.44,5037588.71,74859883.6
MRK,2016-12-20,2017-03-16,57.73,61.24,6.1%,70.5%,67146713.44,7833554.63,77316799.36
CPRX,2016-12-21,2017-03-17,1.09,1.54,41.3%,119.7%,67146713.44,13221510.52,96697332.13
AMGN,2016-12-23,2017-03-17,147.55,168.61,14.3%,82.3%,67146713.44,8814215.09,82084316.54
LLY,2016-12-27,2017-03-22,73.81,84.36,14.3%,117.7%,60564799.94,12457052.12,78843373.87
JAZZ,2016-12-27,2017-03-22,112.2,142.34,26.9%,108.9%,60564799.94,11523045.91,82788788.34
NKTR,2016-12-27,2017-03-22,189.9,343.35,80.8%,40.9%,60564799.94,4331207.53,94103908.53
