Trade_ID,Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Held,Stock_Return_Pct,Annualized_Borrow_Fee_Pct,Lending_Income,Capital_Before_Trade,Capital_After_Trade
1,MDGL,2018-04-02,158.46,2018-05-31,301.00,59,89.95%,150%,$242465,"$1,000,000","$2,141,998"
2,KRTX,2019-09-18,13.92,2019-11-18,96.00,61,589.65%,150%,$537020,"$2,141,998","$15,309,515"
3,AXSM,2019-11-19,25.26,2019-12-16,104.30,27,312.90%,150%,$1698590,"$15,309,515","$64,912,448"
4,VKTX,2023-12-27,18.66,2024-02-27,85.05,62,355.78%,150%,$16539058,"$64,912,448","$312,401,868"
