Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
OPK,2016-03-29,2016-06-22,11.07,9.36,-15.4%,69.6%,3704223.59,600513.56,3732539.98
NVS,2016-04-04,2016-06-28,65.17,71.32,9.4%,56.8%,3741804.23,494599.66,4589336.57
GSK,2016-04-06,2016-06-30,41.68,43.34,4.0%,61.4%,3756325.3,536737.64,4442667.05
RARE,2016-04-21,2016-07-15,75.41,53.17,-29.5%,114.9%,3877345.27,1037774.24,3771608.36
IONS,2016-05-09,2016-08-02,34.38,37.74,9.8%,91.8%,3975351.99,850250.53,5214118.65
HRTX,2016-05-18,2016-08-11,17.58,20.23,15.1%,88.7%,4021373.54,830946.97,5458500.17
VTVT,2016-05-18,2016-08-11,206.0,239.2,16.1%,53.7%,4021373.54,502808.62,5172286.96
AUPH,2016-05-23,2016-08-16,2.48,2.31,-6.9%,98.3%,4062164.83,930187.02,4713896.88
KMDA,2016-06-07,2016-08-31,3.71,4.82,29.9%,53.1%,4174670.62,515959.2,5939655.4
RIGL,2016-06-07,2016-08-31,24.4,33.7,38.1%,70.4%,4161852.28,681893.5,6430025.76
SRPT,2016-06-27,2016-09-20,16.95,55.73,228.8%,107.4%,3732539.98,933788.76,13206027.24
IONS,2016-08-15,2016-11-08,35.45,31.46,-11.3%,102.1%,5415897.24,1287469.97,6093792.07
ACRS,2016-08-23,2016-11-16,21.24,22.86,7.6%,58.3%,5550165.54,753838.22,6727321.69
VCEL,2016-09-20,2016-12-14,2.37,4.1,73.0%,42.6%,5961300.05,590949.66,10903747.48
VTVT,2016-09-21,2016-12-15,277.6,199.6,-28.1%,65.2%,5969297.11,906855.74,5198900.81
ACAD,2016-09-27,2016-12-21,35.23,27.46,-22.1%,61.4%,6011841.36,859880.74,5545806.39
LXRX,2016-09-28,2016-12-22,18.06,14.24,-21.2%,56.9%,6018383.79,797177.53,5542569.91
IONS,2016-09-30,2016-12-23,36.64,53.41,45.8%,115.4%,6030349.09,1601983.43,10392402.36
OPK,2016-10-07,2016-12-30,9.91,9.3,-6.2%,110.1%,6108578.09,1547928.83,7280499.8
HALO,2016-10-13,2017-01-06,10.51,13.38,27.3%,65.2%,6184002.39,938580.71,8811268.71
CHRS,2016-10-18,2017-01-11,29.22,27.25,-6.7%,92.4%,5688308.37,1224464.16,6529269.32
TENX,2016-11-08,2017-02-01,44160.0,18240.0,-58.7%,61.2%,6093792.07,868354.54,3385355.61
JNJ,2016-11-16,2017-02-09,116.36,114.08,-2.0%,84.9%,6713317.65,1327453.42,7909227.96
ARDX,2016-11-23,2017-02-16,15.55,13.15,-15.4%,61.0%,14004.03,1989.97,13832.61
NVS,2016-12-19,2017-03-14,64.18,67.26,4.8%,82.3%,7106605.82,1362516.93,8809422.55
MRK,2016-12-20,2017-03-15,57.73,61.74,6.9%,117.7%,7116389.76,1950345.65,9560765.73
CPRX,2016-12-21,2017-03-16,1.09,1.51,38.5%,108.9%,7129049.44,1807321.84,11683344.1
AMGN,2016-12-23,2017-03-17,147.55,168.61,14.3%,40.9%,7166741.13,674881.7,8864540.8
LLY,2016-12-27,2017-03-21,73.81,83.73,13.4%,97.7%,7230557.14,1625043.08,9827381.42
JAZZ,2016-12-27,2017-03-21,112.2,142.95,27.4%,94.5%,1834083.66,399030.96,2735771.25
XENE,2016-12-30,2017-03-24,7.7,4.65,-39.6%,48.9%,7280499.8,819730.54,5216396.2
AZN,2017-01-06,2017-03-31,56.86,62.28,9.5%,54.3%,7404779.23,925199.91,9035816.09
PFE,2017-01-06,2017-03-31,31.76,32.46,2.2%,113.0%,1406489.48,365797.44,1802954.12
SUPN,2017-01-11,2017-04-06,25.2,30.2,19.8%,91.1%,6529269.32,1385431.63,9210190.85
BMRN,2017-02-02,2017-04-28,88.38,95.84,8.4%,114.3%,3385355.61,901327.34,4572434.82
PFE,2017-02-14,2017-05-10,31.07,31.34,0.9%,44.6%,7909227.96,822102.74,8798951.8
LLY,2017-02-17,2017-05-12,80.39,80.19,-0.2%,46.9%,13832.61,1491.49,15289.69
ALKS,2017-03-14,2017-06-07,55.66,59.57,7.0%,67.0%,8752902.15,1366647.4,10734422.82
LXRX,2017-03-17,2017-06-09,14.92,16.4,9.9%,87.1%,8808712.18,1764984.67,11447483.04
ALDX,2017-03-22,2017-06-15,5.0,4.15,-17.0%,58.4%,8880512.15,1207939.47,8578764.73
RDHL,2017-03-22,2017-06-15,10300.0,9140.0,-11.3%,57.6%,8880512.15,1191564.79,9071941.59
JNJ,2017-03-24,2017-06-16,125.48,134.35,7.1%,45.7%,8902308.74,935857.9,10467458.16
GMAB,2017-03-24,2017-06-16,20.38,21.56,5.8%,90.5%,8902308.74,1853878.2,11269781.08
NVS,2017-03-28,2017-06-21,67.05,73.98,10.3%,58.3%,3570365.94,484865.88,4424053.43
MRK,2017-04-04,2017-06-28,60.75,62.18,2.3%,93.5%,9098094.1,1981402.6,11292409.11
XENE,2017-04-04,2017-06-28,4.15,3.1,-25.3%,57.1%,1740676.12,231620.1,1531884.12
AMGN,2017-04-06,2017-06-30,162.25,172.23,6.2%,50.6%,9136021.71,1076228.51,10774206.82
ALKS,2017-04-06,2017-06-30,57.54,57.97,0.7%,114.8%,74169.13,19835.66,94559.07
GSK,2017-04-28,2017-07-21,40.9,42.66,4.3%,98.3%,4572434.82,1034671.81,5803866.47
ABBV,2017-05-10,2017-08-03,65.98,70.99,7.6%,108.9%,8798951.8,2232130.93,11699204.86
LLY,2017-05-12,2017-08-04,80.19,82.31,2.6%,60.0%,15289.69,2110.69,17804.6
NVS,2017-06-07,2017-08-31,72.78,75.53,3.8%,57.1%,10306245.56,1370443.11,12066249.55
PFE,2017-06-09,2017-09-01,31.09,32.22,3.6%,72.1%,10346118.47,1716319.23,12438144.15
NVS,2017-06-13,2017-09-06,72.98,75.14,3.0%,44.7%,1529541.82,159186.36,1733985.39
KURA,2017-06-15,2017-09-08,7.95,11.8,48.4%,102.7%,10462312.9,2502837.52,18031805.72
AMGN,2017-06-15,2017-09-08,164.11,180.64,10.1%,76.4%,7188393.42,1278954.41,9191399.58
BMY,2017-06-19,2017-09-11,55.22,62.72,13.6%,119.6%,10571938.37,2910683.59,14918506.35
REGN,2017-06-19,2017-09-12,471.67,444.48,-5.8%,84.5%,10571938.37,2079406.03,12041911.91
SNY,2017-06-19,2017-09-12,48.57,48.83,0.5%,97.5%,593362.5,134688.03,731226.88
VNDA,2017-06-21,2017-09-14,15.8,17.65,11.7%,52.4%,4424053.43,539688.27,5481747.78
ALNY,2017-06-28,2017-09-21,79.97,112.92,41.2%,86.7%,10873336.46,2196237.5,17549708.98
SNY,2017-06-28,2017-09-21,49.29,49.95,1.3%,80.2%,1950956.77,364501.94,2341582.28
MRK,2017-06-30,2017-09-22,61.15,62.15,1.6%,54.9%,10868765.88,1372365.94,12417501.32
